t_ms,ax_g,ay_g,az_g,label
10,-0.10126,0.128832,0.911767,CW
27,0.032757,0.117547,0.904935,CW
44,0.093696,0.18422,0.953003,CW
63,0.080093,0.238205,0.956724,CW
80,0.061976,0.275659,0.959713,CW
97,0.08662,0.279685,1.000705,CW
115,0.161284,0.240584,1.013576,CW
132,0.190564,0.252601,1.003084,CW
149,0.272853,0.211609,0.993568,CW
166,0.305549,0.218136,0.957883,CW
185,0.220027,0.233752,0.963129,CW
203,0.221369,0.144448,0.968436,CW
220,0.235948,0.071675,0.931348,CW
237,0.3172,-0.033367,1.031815,CW
254,0.388936,-0.113948,1.145336,CW
272,0.405772,-0.213927,1.188036,CW
289,0.345992,-0.288408,1.115629,CW
306,0.254736,-0.318237,1.014003,CW
324,0.1647,-0.325496,0.999912,CW
341,0.040199,-0.292312,1.069513,CW
360,-0.154879,-0.238327,1.067561,CW
378,-0.345565,-0.17568,1.003328,CW
395,-0.437492,-0.116144,0.907192,CW
413,-0.379969,-0.073017,0.863577,CW
430,-0.278099,-0.041419,0.878949,CW
447,-0.262117,0.016836,0.954955,CW
465,-0.30256,0.094428,1.013576,CW
482,-0.342637,0.154025,0.962519,CW
499,-0.346724,0.200812,0.885476,CW
517,-0.294813,0.239181,0.88938,CW
534,-0.256871,0.295484,0.986553,CW
551,-0.145607,0.317688,1.045052,CW
569,0.041053,0.310063,1.113616,CW
586,0.190625,0.319457,1.177239,CW
605,0.291519,0.29524,1.148752,CW
622,0.352641,0.251564,1.073356,CW
640,0.406931,0.195688,1.023824,CW
657,0.452132,0.14274,1.035536,CW
674,0.463844,0.081008,1.043161,CW
691,0.468297,0.002379,1.033096,CW
708,0.470615,-0.106933,1.008513,CW
726,0.465125,-0.235399,0.958188,CW
743,0.41724,-0.322324,0.910913,CW
762,0.315248,-0.353617,0.879864,CW
780,0.175924,-0.322873,0.907253,CW
797,0.020252,-0.284992,0.971913,CW
814,-0.172813,-0.229787,1.014247,CW
832,-0.343064,-0.16592,0.96502,CW
849,-0.403576,-0.110044,0.865468,CW
867,-0.352885,-0.058133,0.890356,CW
884,-0.362584,0.003233,0.952088,CW
901,-0.444751,0.098027,0.95648,CW
919,-0.44774,0.157319,0.9455,CW
936,-0.368867,0.196725,0.942145,CW
953,-0.272548,0.239059,0.946537,CW
970,-0.180255,0.272304,0.967643,CW
988,-0.134932,0.309209,1.00162,CW
1007,-0.114619,0.330925,1.029192,CW
1025,0.0366,0.325191,1.086288,CW
1042,0.223016,0.285175,1.161379,CW
1059,0.357216,0.233325,1.183827,CW
1077,0.409432,0.174704,1.165344,CW
1094,0.402295,0.124501,1.078968,CW
1111,0.388387,0.034892,1.020469,CW
1128,0.376675,-0.086925,0.976976,CW
1146,0.352031,-0.20984,0.929823,CW
1163,0.318176,-0.290604,0.933788,CW
1181,0.261324,-0.317993,1.001803,CW
1198,0.199409,-0.320128,1.038403,CW
1215,0.129381,-0.301584,1.042795,CW
1233,-0.005612,-0.238876,1.067744,CW
1250,-0.20496,-0.1586,1.060424,CW
1268,-0.352092,-0.096075,1.012112,CW
1285,-0.390705,-0.05246,0.982771,CW
1303,-0.332267,-0.024827,0.943365,CW
1320,-0.255651,0.005856,0.884744,CW
1338,-0.224724,0.06222,0.897188,CW
1355,-0.283589,0.144631,0.974475,CW
1373,-0.370453,0.234545,0.935008,CW
1390,-0.378688,0.283833,0.859368,CW
1407,-0.2623,0.306464,0.890844,CW
1425,-0.133773,0.334951,0.932385,CW
1442,-0.030988,0.367708,1.011441,CW
1462,0.115229,0.356667,1.12972,CW
1479,0.230336,0.358375,1.165283,CW
1496,0.310917,0.306891,1.096231,CW
1514,0.348249,0.250405,1.069269,CW
1531,0.385215,0.166652,1.101721,CW
1548,0.41236,0.058804,1.0492,CW
1566,0.458476,-0.0671,0.998753,CW
1583,0.460489,-0.173057,1.008696,CW
1600,0.385947,-0.251625,0.982405,CW
1618,0.291519,-0.322873,0.964532,CW
1635,0.195871,-0.348005,0.956541,CW
1653,0.1403,-0.344284,0.95892,CW
1670,0.064416,-0.301096,0.992836,CW
1687,-0.090829,-0.219112,1.032608,CW
1705,-0.253821,-0.133224,1.012112,CW
1722,-0.345565,-0.068869,0.966728,CW
1740,-0.321287,-0.028792,0.939949,CW
1757,-0.248209,-0.005673,0.919331,CW
1775,-0.173484,0.028731,0.902739,CW
1792,-0.095892,0.071919,0.939949,CW
1810,-0.119316,0.137433,1.00772,CW
1827,-0.210145,0.20618,0.988444,CW
1844,-0.262117,0.257237,0.922625,CW
1862,-0.2379,0.287249,0.889197,CW
