t_ms,ax_g,ay_g,az_g,label
16,0.024705,-0.018788,0.997167,idle
33,0.025132,-0.019764,1.002108,idle
51,0.025071,-0.02074,0.998631,idle
68,0.024644,-0.019825,1.000461,idle
85,0.025925,-0.019764,0.997533,idle
103,0.025132,-0.020252,0.995459,idle
120,0.024644,-0.019459,0.998509,idle
138,0.0244,-0.01952,1.002596,idle
155,0.024156,-0.020496,1.000095,idle
173,0.025376,-0.020557,0.996557,idle
190,0.025681,-0.019764,0.996496,idle
208,0.025376,-0.019703,0.998143,idle
225,0.024827,-0.020008,1.002291,idle
243,0.024888,-0.019764,1.000705,idle
260,0.024644,-0.020496,0.996984,idle
278,0.0244,-0.020252,0.995215,idle
295,0.024888,-0.020191,0.998875,idle
313,0.025071,-0.020008,1.001193,idle
330,0.024827,-0.019703,1.001376,idle
348,0.024888,-0.018544,0.997777,idle
365,0.024888,-0.019276,0.99308,idle
383,0.025071,-0.024156,0.983808,idle
400,0.026108,-0.019825,0.946415,idle
418,0.021472,-0.002501,1.088911,idle
435,0.024339,-0.01586,0.960628,idle
453,0.023912,-0.010431,1.002596,idle
470,0.024705,-0.010675,0.986797,idle
488,0.023607,-0.005124,1.012905,idle
505,0.022692,-0.0061,0.989847,idle
523,0.021228,-0.004819,1.00528,idle
540,0.02196,-0.002684,1.000156,idle
558,0.020496,0.003599,1.013088,idle
575,0.020313,0.001952,0.99064,idle
593,0.02196,-0.000488,1.005524,idle
610,0.023729,-0.002501,0.997411,idle
628,0.023119,0.000732,0.99552,idle
645,0.021289,0.004697,0.999912,idle
662,0.021472,0.004148,1.003023,idle
680,0.021228,0.001952,0.999241,idle
699,0.020496,0.003172,1.004609,idle
717,0.020252,0.004636,0.999241,idle
734,0.02074,0.004697,0.99552,idle
751,0.021716,0.003172,0.995947,idle
769,0.021228,0.004148,0.999607,idle
786,0.020557,0.006649,1.003999,idle
804,0.020313,0.006405,0.998204,idle
821,0.020008,0.005612,0.996252,idle
838,0.020069,0.0061,0.997533,idle
856,0.019276,0.006588,1.000156,idle
873,0.020252,0.007808,1.004792,idle
891,0.020191,0.007503,1.001437,idle
908,0.019276,0.007991,0.994361,idle
925,0.019032,0.008784,0.997045,idle
943,0.019276,0.008723,1.000705,idle
960,0.01952,0.007991,1.001376,idle
978,0.019825,0.008235,0.999973,idle
995,0.019093,0.010797,0.999424,idle
1012,0.018788,0.009821,0.996496,idle
1030,0.018605,0.009089,1.001315,idle
1047,0.019093,0.008784,0.999851,idle
1065,0.019032,0.008784,0.998692,idle
1082,0.019459,0.009699,0.996679,idle
1100,0.019703,0.009516,1.000095,idle
1117,0.01952,0.00976,1.000827,idle
1135,0.018117,0.010065,0.999485,idle
1152,0.017751,0.010919,0.997716,idle
1170,0.017812,0.011224,0.997228,idle
1187,0.0183,0.01098,0.999973,idle
1205,0.017873,0.011712,1.003023,idle
1222,0.017812,0.012139,0.999119,idle
1240,0.018544,0.012688,0.996923,idle
1257,0.017385,0.014823,1.002108,idle
1275,0.016653,0.015067,0.999485,idle
1292,0.016531,0.013908,0.999668,idle
1310,0.014396,0.01952,1.006805,idle
1327,0.013664,0.020496,0.989176,idle
1345,0.015128,0.019581,0.999668,idle
1362,0.014823,0.019764,0.999912,idle
1380,0.015067,0.020496,1.000827,idle
1397,0.015128,0.020069,0.997533,idle
1415,0.015311,0.02074,1.000644,idle
1432,0.014152,0.020923,0.998936,idle
1450,0.013969,0.020496,0.998387,idle
1467,0.014091,0.020435,0.999424,idle
1485,0.013603,0.020801,0.999668,idle
1502,0.014152,0.021655,0.998021,idle
