t_ms,ax_g,ay_g,az_g,label
10,0.002684,-0.050996,0.709552,UPDOWN
27,0.024217,-0.05612,0.855403,UPDOWN
45,0.021716,-0.116571,1.024007,UPDOWN
63,0.015372,-0.190503,1.296372,UPDOWN
80,0.073627,-0.185501,1.622295,UPDOWN
98,0.172996,-0.11102,1.823229,UPDOWN
115,0.089731,-0.007076,1.719224,UPDOWN
133,0.009455,-0.002745,1.633275,UPDOWN
151,0.014152,-0.024949,1.621136,UPDOWN
166,-0.004209,0.009516,1.453691,UPDOWN
184,0.02684,-0.053985,1.195905,UPDOWN
202,0.050935,-0.048495,1.063901,UPDOWN
219,0.082655,-0.037576,1.012539,UPDOWN
237,0.068076,-0.054168,0.913536,UPDOWN
255,0.043127,-0.048983,0.778665,UPDOWN
273,0.056852,-0.01708,0.671793,UPDOWN
290,0.077592,0.001525,0.609085,UPDOWN
308,0.092293,-0.013908,0.571387,UPDOWN
326,0.11102,-0.039467,0.5734,UPDOWN
341,0.065209,-0.049288,0.512217,UPDOWN
359,0.038613,-0.023973,0.452376,UPDOWN
377,0.044896,-0.021228,0.480436,UPDOWN
394,0.04636,-0.043859,0.606828,UPDOWN
412,0.038552,-0.047519,0.715469,UPDOWN
430,0.0976,-0.020984,0.915,UPDOWN
447,0.116388,-0.019093,1.139724,UPDOWN
465,0.082472,-0.065148,1.315099,UPDOWN
483,0.116876,-0.082228,1.475163,UPDOWN
500,0.124013,-0.040748,1.569164,UPDOWN
516,0.08662,-0.010309,1.62992,UPDOWN
534,0.096685,-0.010004,1.694519,UPDOWN
551,0.086864,0.007991,1.661945,UPDOWN
569,0.085156,-0.004453,1.550132,UPDOWN
587,0.07198,-0.009028,1.406843,UPDOWN
604,0.064416,-0.014884,1.231468,UPDOWN
622,0.050996,-0.007259,1.048468,UPDOWN
640,0.049288,-0.038308,0.889075,UPDOWN
657,0.04758,-0.044652,0.743712,UPDOWN
675,0.067161,-0.037576,0.630008,UPDOWN
693,0.085644,-0.051728,0.558028,UPDOWN
708,0.091317,-0.080825,0.475251,UPDOWN
726,0.07442,-0.075884,0.38674,UPDOWN
744,0.041968,-0.057767,0.331108,UPDOWN
761,0.052216,-0.049593,0.374052,UPDOWN
779,0.039589,-0.053619,0.42334,UPDOWN
797,0.042883,-0.048312,0.497211,UPDOWN
814,0.04392,-0.046055,0.598532,UPDOWN
832,0.053863,-0.041236,0.744444,UPDOWN
850,0.048068,-0.054473,0.897371,UPDOWN
868,0.038125,-0.090951,1.076467,UPDOWN
883,0.042151,-0.10004,1.237873,UPDOWN
901,0.072712,-0.078324,1.425509,UPDOWN
919,0.093757,-0.031476,1.583865,UPDOWN
936,0.104676,0.010919,1.723921,UPDOWN
954,0.097539,0.027633,1.8056,UPDOWN
971,0.089304,0.022204,1.7995,UPDOWN
989,0.078324,-0.012993,1.740696,UPDOWN
1007,0.091073,-0.03294,1.608997,UPDOWN
1024,0.097173,-0.026047,1.429596,UPDOWN
1042,0.080947,-0.018483,1.238971,UPDOWN
1058,0.068076,-0.012932,1.075308,UPDOWN
1076,0.063501,-0.033977,0.909388,UPDOWN
1094,0.068564,-0.064904,0.754204,UPDOWN
1111,0.068503,-0.083387,0.582733,UPDOWN
1129,0.080764,-0.090463,0.428464,UPDOWN
1147,0.09028,-0.074664,0.328912,UPDOWN
1165,0.088511,-0.077043,0.283284,UPDOWN
1180,0.058987,-0.092049,0.25254,UPDOWN
1198,0.024827,-0.101077,0.232044,UPDOWN
1216,0.009272,-0.089304,0.275659,UPDOWN
1234,0.026657,-0.050752,0.349896,UPDOWN
1252,0.042517,-0.016531,0.46238,UPDOWN
1269,0.026413,-0.018971,0.633607,UPDOWN
1287,0.020069,-0.046299,0.881816,UPDOWN
1303,0.061427,-0.063379,1.162965,UPDOWN
1321,0.094428,-0.055327,1.366156,UPDOWN
1338,0.067344,-0.018483,1.499868,UPDOWN
1356,0.085156,0.011468,1.674572,UPDOWN
1374,0.124623,0.011163,1.86172,UPDOWN
1392,0.13298,0.004453,1.9642,UPDOWN
1409,0.088572,0.005307,1.914668,UPDOWN
1427,0.063135,0.006771,1.778028,UPDOWN
1443,0.060512,-0.007381,1.610644,UPDOWN
1460,0.052887,-0.01464,1.448872,UPDOWN
1478,0.051484,-0.001159,1.293749,UPDOWN
1496,0.033123,0.020496,1.100379,UPDOWN
1514,0.034648,0.022997,0.908961,UPDOWN
1531,0.040504,0.008113,0.72224,UPDOWN
1549,0.050264,-0.019703,0.562603,UPDOWN
1567,0.076311,-0.031476,0.437492,UPDOWN
1582,0.06832,-0.035624,0.340075,UPDOWN
1600,0.088084,-0.023912,0.282369,UPDOWN
1618,0.069296,-0.035624,0.246257,UPDOWN
1636,0.023851,-0.049044,0.236741,UPDOWN
