t_ms,ax_g,ay_g,az_g,label
5,0.09272,-0.073261,1.009245,idle
21,0.090768,-0.076799,0.892613,idle
38,0.071248,-0.064172,0.979172,idle
55,0.079788,-0.06954,1.003755,idle
73,0.082472,-0.065087,1.008757,idle
90,0.076799,-0.066368,0.965813,idle
108,0.071797,-0.072529,0.991372,idle
125,0.063928,-0.059048,0.995947,idle
143,0.050203,-0.043737,1.034804,idle
160,0.074115,-0.042395,1.115568,idle
178,0.096197,-0.054961,1.052128,idle
195,0.149816,-0.059048,1.130696,idle
213,0.206912,-0.103212,0.808128,idle
230,0.132187,-0.091744,0.849608,idle
248,0.006344,-0.050203,1.010404,idle
265,-0.024156,-0.061,1.051884,idle
283,0.002684,-0.089853,1.007964,idle
300,0.040199,-0.114924,0.946537,idle
318,0.070333,-0.11834,0.939461,idle
335,0.081801,-0.104005,0.977403,idle
353,0.071187,-0.082289,1.002779,idle
370,0.055449,-0.066124,1.021384,idle
388,0.041785,-0.059231,1.010404,idle
405,0.056913,-0.067771,0.984601,idle
423,0.068564,-0.065636,0.971608,idle
440,0.064416,-0.064965,0.980819,idle
458,0.048068,-0.067161,1.011075,idle
475,0.046909,-0.072041,1.015772,idle
493,0.06954,-0.081679,0.981063,idle
510,0.081557,-0.079056,0.98088,idle
528,0.069235,-0.06588,0.996984,idle
545,0.05246,-0.05734,1.011136,idle
563,0.054656,-0.068869,1.003816,idle
578,0.06466,-0.077897,0.987956,idle
596,0.07198,-0.078629,0.980819,idle
613,0.074847,-0.071309,0.993141,idle
631,0.073627,-0.070943,1.008452,idle
648,0.070333,-0.070699,1.007964,idle
666,0.069845,-0.080276,0.984052,idle
683,0.072224,-0.085339,0.982588,idle
701,0.066063,-0.081008,0.982832,idle
718,0.066124,-0.080764,0.977647,idle
736,0.07564,-0.077104,0.991067,idle
753,0.08662,-0.064843,1.022421,idle
771,0.093635,-0.064721,1.016016,idle
788,0.082533,-0.072651,0.984601,idle
806,0.065148,-0.083265,0.977159,idle
823,0.047824,-0.081801,0.963373,idle
841,0.04636,-0.065819,0.987956,idle
858,0.079544,-0.059536,1.013637,idle
876,0.104737,-0.059536,1.002352,idle
893,0.11468,-0.071492,0.993263,idle
911,0.109129,-0.086864,0.989725,idle
928,0.089609,-0.087779,0.986919,idle
946,0.077409,-0.082777,0.993873,idle
963,0.078873,-0.067344,1.007537,idle
981,0.080276,-0.061915,0.992104,idle
998,0.086864,-0.067527,0.9821,idle
1016,0.091927,-0.068076,0.992409,idle
1033,0.10126,-0.072529,1.001681,idle
1051,0.090707,-0.064904,0.992592,idle
1068,0.076555,-0.060817,1.001376,idle
1086,0.079849,-0.068747,0.997716,idle
1103,0.088145,-0.076616,0.987712,idle
1121,0.088328,-0.077104,0.988261,idle
1139,0.083936,-0.07686,0.989481,idle
1156,0.076189,-0.073688,0.99674,idle
1174,0.079361,-0.07686,0.981124,idle
1191,0.078995,-0.069845,0.985455,idle
1209,0.086376,-0.067832,1.01016,idle
1227,0.098881,-0.065575,1.003572,idle
1244,0.1037,-0.072224,0.993812,idle
1262,0.099613,-0.071431,0.996801,idle
1279,0.09394,-0.0671,0.996252,idle
1295,0.08174,-0.065941,0.987224,idle
1312,0.076311,-0.07564,0.986187,idle
1330,0.082899,-0.085705,0.99186,idle
1348,0.088755,-0.086864,0.978928,idle
1365,0.086803,-0.084424,0.980087,idle
1383,0.080032,-0.075884,1.004121,idle
1400,0.086193,-0.073383,1.002169,idle
1418,0.094001,-0.077287,0.981917,idle
1436,0.093757,-0.079056,0.989481,idle
1453,0.089609,-0.080947,1.001071,idle
1471,0.085644,-0.08662,0.99186,idle
1488,0.083448,-0.090585,0.989359,idle
1506,0.083265,-0.092537,0.977952,idle
1524,0.082472,-0.089487,0.987773,idle
1541,0.086376,-0.083448,0.988505,idle
1559,0.090036,-0.081008,0.990152,idle
1576,0.084241,-0.075884,0.992348,idle
1594,0.078812,-0.079056,0.991067,idle
1612,0.082716,-0.08296,0.998509,idle
1627,0.089548,-0.083021,0.995276,idle
1645,0.093696,-0.080825,1.001376,idle
1662,0.092964,-0.082655,0.988993,idle
1680,0.088572,-0.084485,0.991189,idle
1697,0.082716,-0.08906,0.982649,idle
1715,0.0793,-0.093208,0.974475,idle
1733,0.079117,-0.090951,0.984296,idle
1750,0.088084,-0.088877,1.003389,idle
1768,0.096197,-0.085705,0.999424,idle
1785,0.100223,-0.087413,0.987407,idle
1803,0.091805,-0.084851,0.982771,idle
1821,0.083631,-0.086925,0.985028,idle
1838,0.078568,-0.083021,0.995032,idle
1856,0.088328,-0.087596,0.990945,idle
1873,0.096136,-0.083875,0.995764,idle
1891,0.095953,-0.080276,1.002413,idle
1909,0.092293,-0.080459,1.000705,idle
1926,0.088633,-0.083631,0.988505,idle
1944,0.091256,-0.088389,0.984296,idle
1959,0.088633,-0.083143,0.988932,idle
