t_ms,ax_g,ay_g,az_g,label
14,0.005307,-0.111996,1.001864,UPDOWN
32,0.068869,-0.044469,1.392752,UPDOWN
50,0.060512,-0.022204,1.613816,UPDOWN
67,-0.114619,0,1.726056,UPDOWN
83,-0.047092,-0.060024,1.732644,UPDOWN
100,0.059048,-0.095831,1.705499,UPDOWN
118,0.060817,-0.157319,1.607716,UPDOWN
136,0.03782,-0.192272,1.476505,UPDOWN
153,-0.034099,-0.161772,1.441064,UPDOWN
171,-0.064233,-0.108519,1.408307,UPDOWN
189,-0.014579,-0.022753,1.25904,UPDOWN
207,0.135359,-0.051667,0.955809,UPDOWN
225,0.28792,-0.128588,0.638609,UPDOWN
240,0.261629,-0.062281,0.327997,UPDOWN
258,0.180499,-0.06222,0.31476,UPDOWN
276,0.062159,0.009028,0.30622,UPDOWN
293,0.011651,0.048556,0.166896,UPDOWN
311,-0.018117,0.044225,0.136335,UPDOWN
328,-0.002684,0.038308,0.246135,UPDOWN
346,0.059597,0.001708,0.428952,UPDOWN
364,0.161772,-0.066795,0.697108,UPDOWN
381,0.200263,-0.060329,1.040965,UPDOWN
399,0.131516,-0.015189,1.436184,UPDOWN
417,0.074603,0.00366,1.736792,UPDOWN
434,-0.035563,0.016348,1.893196,UPDOWN
450,-0.108092,-0.012444,1.899296,UPDOWN
468,-0.118096,-0.019764,1.849459,UPDOWN
486,-0.015433,-0.036844,1.761985,UPDOWN
503,0.101748,-0.053131,1.5738,UPDOWN
521,0.185196,-0.059231,1.414895,UPDOWN
539,0.182512,-0.050996,1.270508,UPDOWN
556,0.16592,-0.034953,1.070184,UPDOWN
574,0.139995,-0.036051,0.828075,UPDOWN
590,0.13176,-0.026352,0.627873,UPDOWN
607,0.111996,-0.012505,0.495015,UPDOWN
625,0.095221,-0.007991,0.382653,UPDOWN
643,0.087779,-0.019703,0.250283,UPDOWN
660,0.098027,-0.074237,0.072224,UPDOWN
678,0.129808,-0.102968,0.027267,UPDOWN
696,0.140605,-0.085644,0.111325,UPDOWN
714,0.174033,-0.076067,0.261751,UPDOWN
731,0.148596,-0.093696,0.472384,UPDOWN
749,0.063013,-0.069784,0.714127,UPDOWN
765,0.060756,-0.007381,0.970632,UPDOWN
